Date,Opening_Price,Highest_Price,Lowest_Price,Closing_Price,Adjusted_Closing_Price,Traded_Volume,Ticker_Symbol,Tweet_Content,sentiment
2020-02-27,70.275001525878900000,71.500000000000000000,68.239997863769530000,68.379997253417970000,66.776084899902340000,320605600,AAPL,aapl market might do same as yesterday reverse dont get too excited bears,-0.2584
2020-03-18,210.000000000000000000,235.839996337890650000,206.169998168945300000,217.139999389648440000,196.919281005859350000,4210000,AMT,amt false flag load them up,0.0
2020-06-19,67.518669128417970000,67.731330871582030000,66.089332580566400000,66.726669311523440000,66.726669311523440000,130195500,TSLA,tsla there are still bears in here,0.0
2020-06-19,67.518669128417970000,67.731330871582030000,66.089332580566400000,66.726669311523440000,66.726669311523440000,130195500,TSLA,tsla unless this is 1030 im not going to get excited  1060 today or monday,0.34
2020-06-19,67.518669128417970000,67.731330871582030000,66.089332580566400000,66.726669311523440000,66.726669311523440000,130195500,TSLA,tsla what an inflated  i was bullish since 255 before earning until the 400s this is way overdone i think it will see below 200 in within a year i will repost this whether im wrong or right,-0.4767
2020-08-11,93.066665649414060000,94.666664123535160000,91.000000000000000000,91.625999450683600000,91.625999450683600000,129387000,TSLA,tsla take the bag neoww this is a legit bubble,0.0
2020-08-11,93.066665649414060000,94.666664123535160000,91.000000000000000000,91.625999450683600000,91.625999450683600000,129387000,TSLA,tsla  shorts and puts getting paid tomorrow,0.0
2020-08-11,93.066665649414060000,94.666664123535160000,91.000000000000000000,91.625999450683600000,91.625999450683600000,129387000,TSLA,tsla  lucky i sold made 5k wont buy until i see this hit over 1500 seems underrated having good news but zero growth,0.7391
2020-08-11,93.066665649414060000,94.666664123535160000,91.000000000000000000,91.625999450683600000,91.625999450683600000,129387000,TSLA,tsla cult of elon its  broke resistance yesterday,-0.4215
2020-08-11,93.066665649414060000,94.666664123535160000,91.000000000000000000,91.625999450683600000,91.625999450683600000,129387000,TSLA,tsla many attempts higher  but falls back to 1400 lvl hmm similar to what happened around 1500 wants to go lower well lets go lower1,-0.0387
2020-08-11,93.066665649414060000,94.666664123535160000,91.000000000000000000,91.625999450683600000,91.625999450683600000,129387000,TSLA,tsla now we know why musk is moving to full time ceo of space x  lucid has shattered the range barrier with 517 on a single charge making tesla 2nd rate technology  that most wasnt very deep,-0.5574
